ticker,sheet_name,label
# 出力対象の銘柄一覧。GitHub 上でこのファイルに 1 行足すだけで銘柄を追加できます。
# - ticker      : yfinance のティッカー (東証個別株は "7203.T"、指数は "^N225")
# - sheet_name  : タブ名 (空欄なら ticker から自動導出: 先頭 "^" と末尾 ".T" を除去)
# - label       : ログ表示名 (空欄なら ticker をそのまま使用)
# "#" で始まる行・空行は無視されます。

# 指数
^N225,N225,日経平均225
^TOPX,TOPX,TOPIX
^JPXN400,JPXN400,JPX日経400
^TSEGR,TSEGR,東証グロース市場250
^TSE300,TSE300,TOPIX Core30
^JPX PRIME,JPXPRIME,JPX Prime 150

# 日本 時価総額 上位20社 (概ねの順。時価総額は変動するため順位は目安)
7203.T,7203,トヨタ自動車
8306.T,8306,三菱UFJフィナンシャル・グループ
6758.T,6758,ソニーグループ
6861.T,6861,キーエンス
9432.T,9432,日本電信電話 (NTT)
6501.T,6501,日立製作所
8035.T,8035,東京エレクトロン
9984.T,9984,ソフトバンクグループ
9983.T,9983,ファーストリテイリング
8058.T,8058,三菱商事
8316.T,8316,三井住友フィナンシャルグループ
4063.T,4063,信越化学工業
6098.T,6098,リクルートホールディングス
9433.T,9433,KDDI
7974.T,7974,任天堂
7267.T,7267,本田技研工業
8031.T,8031,三井物産
4568.T,4568,第一三共
8001.T,8001,伊藤忠商事
4519.T,4519,中外製薬
